,TwonHalfDecade,constituentid_x,counts
3528,1950,18765,1
4766,2000,52889,1
3527,1950,18682,1
4583,2000,24597,1
4048,1975,10219,1
4768,2025,100,1
4771,2025,272,1
4772,2025,297,1
3519,1950,17314,1
4637,2000,31464,1
3523,1950,17722,1
4044,1975,10127,1
4773,2025,403,1
4582,2000,24511,1
4775,2025,465,1
4235,1975,34344,1
4776,2025,713,1
4638,2000,31471,1
4357,1975,50275,1
4574,2000,23541,1
4678,2000,36753,1
4680,2000,36938,1
4793,2025,13609,1
4250,1975,35210,1
4251,1975,35268,1
3500,1950,14020,1
3779,1975,222,1
4702,2000,38640,1
4563,2000,22433,1
3897,1975,1188,1
4463,2000,6523,1
4467,2000,6703,1
4468,2000,6715,1
4794,2025,14034,1
4029,1975,9671,1
4028,1975,7191,1
4795,2025,14389,1
4473,2000,6888,1
4405,2000,572,1
4353,1975,50066,1
3895,1975,1178,1
4032,1975,9709,1
3503,1950,14689,1
4241,1975,34762,1
4140,1975,23749,1
4788,2025,9769,1
4569,2000,23035,1
4243,1975,34958,1
3506,1950,15095,1
4464,2000,6552,1
4356,1975,50260,1
4789,2025,10218,1
4244,1975,34959,1
4245,1975,34961,1
4791,2025,12844,1
3780,1975,247,1
3704,1950,49432,1
4355,1975,50234,1
4792,2025,13179,1
3705,1950,49497,1
3529,1950,18801,1
4765,2000,52738,1
4049,1975,10248,1
4402,2000,514,1
4215,1975,31388,1
3564,1950,23698,1
3563,1950,23655,1
3562,1950,23623,1
3860,1975,851,1
3561,1950,23541,1
3560,1950,23163,1
4591,2000,26190,1
3687,1950,46120,1
3786,1975,272,1
3862,1975,917,1
4217,1975,31471,1
4750,2000,51969,1
3557,1950,23081,1
4752,2000,52081,1
4633,2000,31352,1
4219,1975,32739,1
4221,1975,32831,1
4214,1975,31381,1
4592,2000,26226,1
3859,1975,820,1
3857,1975,741,1
4596,2000,26517,1
4686,2000,37677,1
4369,1975,52080,1
3574,1950,25191,1
3572,1950,24636,1
4207,1975,31285,1
4595,2000,26479,1
3571,1950,24635,1
3852,1975,639,1
3685,1950,45168,1
4748,2000,51832,1
4367,1975,51845,1
3855,1975,700,1
4212,1975,31375,1
3856,1975,739,1
4213,1975,31376,1
3568,1950,24052,1
4056,1975,11204,1
3785,1975,265,1
4763,2000,52606,1
3872,1975,993,1
4364,1975,51632,1
4430,2000,1669,1
4050,1975,10393,1
3869,1975,988,1
3870,1975,991,1
4361,1975,50653,1
3539,1950,21060,1
3692,1950,46807,1
4227,1975,33037,1
3864,1975,925,1
3873,1975,994,1
4094,1975,16941,1
3534,1950,20077,1
3784,1975,259,1
3694,1950,47099,1
4761,2000,52604,1
3533,1950,20018,1
4762,2000,52605,1
4226,1975,33014,1
4458,2000,5669,1
4225,1975,32989,1
3542,1950,21331,1
4753,2000,52085,1
3865,1975,930,1
3550,1950,22389,1
4455,2000,5347,1
4053,1975,11068,1
4588,2000,25362,1
3866,1975,953,1
3867,1975,955,1
4223,1975,32959,1
4587,2000,25202,1
4755,2000,52100,1
3546,1950,21906,1
4365,1975,51779,1
4684,2000,37554,1
4756,2000,52136,1
4457,2000,5562,1
3543,1950,21492,1
3975,1975,2717,1
0,-500,9926,1
3335,1950,637,1
946,1675,21222,1
992,1700,341,1
993,1700,402,1
994,1700,422,1
997,1700,441,1
998,1700,452,1
1006,1700,713,1
1007,1700,851,1
1008,1700,889,1
1009,1700,950,1
1012,1700,1050,1
1016,1700,1305,1
1017,1700,1612,1
1018,1700,1676,1
1019,1700,1829,1
1020,1700,1848,1
1021,1700,2014,1
1025,1700,10026,1
1034,1700,21018,1
1036,1700,21894,1
1038,1700,23019,1
1039,1700,23313,1
991,1700,328,1
990,1700,303,1
989,1700,292,1
967,1675,47163,1
951,1675,24202,1
953,1675,25163,1
956,1675,28418,1
957,1675,30413,1
958,1675,30958,1
962,1675,38120,1
964,1675,38216,1
965,1675,38436,1
966,1675,46560,1
968,1675,48860,1
986,1700,229,1
969,1675,49629,1
970,1675,50417,1
971,1675,52930,1
973,1700,30,1
976,1700,58,1
977,1700,65,1
978,1700,88,1
981,1700,116,1
983,1700,192,1
1040,1700,23321,1
1041,1700,23541,1
1042,1700,23749,1
1123,1725,2500,1
1102,1725,672,1
1103,1725,819,1
1105,1725,851,1
1106,1725,896,1
1107,1725,950,1
1108,1725,955,1
1114,1725,1283,1
1116,1725,1294,1
1122,1725,2465,1
1125,1725,7175,1
1099,1725,570,1
1126,1725,7193,1
1127,1725,9797,1
1130,1725,10939,1
1136,1725,14825,1
1138,1725,15989,1
1144,1725,19896,1
1147,1725,23749,1
1152,1725,27258,1
1153,1725,29735,1
1101,1725,640,1
1096,1725,542,1
1043,1700,24254,1
1068,1725,195,1
1047,1700,35270,1
1048,1700,35500,1
1051,1700,38216,1
1052,1700,45424,1
1054,1700,48573,1
1057,1700,52737,1
1061,1725,48,1
1063,1725,96,1
1066,1725,180,1
1075,1725,260,1
1095,1725,538,1
1078,1725,328,1
1079,1725,332,1
1080,1725,333,1
1081,1725,398,1
1083,1725,425,1
1086,1725,434,1
1087,1725,435,1
1092,1725,493,1
1093,1725,501,1
949,1675,22725,1
940,1675,17495,1
1156,1725,31702,1
939,1675,17142,1
800,1650,1301,1
802,1650,1304,1
803,1650,1314,1
804,1650,1322,1
805,1650,1449,1
806,1650,1532,1
807,1650,1533,1
810,1650,1648,1
811,1650,1655,1
812,1650,1829,1
815,1650,7188,1
816,1650,7189,1
817,1650,7190,1
823,1650,10939,1
829,1650,14064,1
832,1650,17142,1
835,1650,18314,1
836,1650,18799,1
837,1650,20021,1
840,1650,21751,1
842,1650,22725,1
799,1650,1296,1
795,1650,1100,1
792,1650,960,1
763,1650,422,1
748,1650,230,1
749,1650,238,1
750,1650,239,1
751,1650,259,1
753,1650,270,1
755,1650,296,1
